"annotator_id";"ethnicity";"religion";"disability";"lgbt";"gender";"age";"city";"last_education_degree";"job_status";"president vote leaning"
"1";"Tionghoa";"Kristen";"no";"no";"F";"50";"Jakarta";"Diploma";"Bekerja";"2"
"2";"Madura";"Islam";"no";"no";"F";"22";"Madura";"Sekolah Menengah Atas (SMA)";"Pelajar/Mahasiswa";"3"
"3";"Batak";"Kepercayaan Lokal";"no";"no";"F";"29";"Medan";"Sarjana (S1)";"Bekerja";"3"
"4";"Bali";"Hindu";"no";"no";"M";"23";"Bandung";"Sekolah Menengah Atas (SMA)";"Pelajar/Mahasiswa";"unknown"
"5";"Jawa";"Syiah";"no";"no";"M";"46";"Bandung";"Diploma";"Bekerja";"Abstain"
"6";"Minang";"Ahmadiyah";"no";"no";"F";"22";"Jakarta";"Sarjana (S1)";"Bekerja";"3"
"7";"Minang";"Islam";"yes";"no";"F";"27";"Padang";"Sarjana (S1)";"Bekerja";"1"
"8";"Arab";"Islam";"no";"no";"M";"23";"Jakarta";"Sekolah Menengah Atas (SMA)";"Pelajar/Mahasiswa";"1"
"9";"Jawa";"Islam";"no";"no";"F";"21";"Magelang";"Sekolah Menengah Atas (SMA)";"Pelajar/Mahasiswa";"2"
"10";"Tionghoa";"Buddha";"no";"no";"F";"20";"Tangerang";"Sekolah Menengah Atas (SMA)";"Pelajar/Mahasiswa";"3"
"11";"Bugis";"Islam";"no";"yes";"M";"25";"Jakarta";"Sarjana (S1)";"Bekerja";"2"
"12";"Melayu";"Islam";"no";"no";"F";"34";"Riau";"Sarjana (S1)";"Ibu Rumah Tangga";"1"
"13";"Dayak";"Katolik";"no";"no";"M";"20";"Pontianak";"Sarjana (S1)";"Pelajar/Mahasiswa";"2"
"15";"Tionghoa";"Katolik";"yes";"no";"F";"21";"Jakarta";"Sekolah Menengah Atas (SMA)";"Pelajar/Mahasiswa";"3"
"16";"Bugis";"Islam";"no";"no";"F";"19";"Makassar";"Sekolah Menengah Atas (SMA)";"Pelajar/Mahasiswa";"unknown"
"18";"Bali";"Hindu";"yes";"no";"M";"34";"Jakarta";"Magister (S2)";"Tidak Bekerja";"2"
"19";"Batak";"Kristen";"no";"no";"F";"39";"Depok";"Magister (S2)";"Bekerja";"2"
"20";"Sunda";"Islam";"no";"no";"M";"43";"Jakarta";"Magister (S2)";"Bekerja";"2"
"21";"Sunda";"Islam";"no";"no";"F";"39";"Bogor";"Sarjana (S1)";"Bekerja";"1"
